This file was created by CMPT_ME_BEME_RETS using the 202105 CRSP database.,,,,
The 1-month TBill return is from Ibbotson and Associates, Inc.,,,
6/30/1926,,,,
Date,Mkt-RF,SMB,HML,RF
7/31/1926,2.96,-2.3,-2.87,0.22
8/31/1926,2.64,-1.4,4.19,0.25
9/30/1926,0.36,-1.32,0.01,0.23
10/31/1926,-3.24,0.04,0.51,0.32
11/30/1926,2.53,-0.2,-0.35,0.31
12/31/1926,2.62,-0.04,-0.02,0.28
1/31/1927,-0.06,-0.56,4.83,0.25
2/28/1927,4.18,-0.1,3.17,0.26
3/31/1927,0.13,-1.6,-2.67,0.3
4/30/1927,0.46,0.43,0.6,0.25
5/31/1927,5.44,1.41,4.93,0.3
6/30/1927,-2.34,0.47,-1.53,0.26
7/31/1927,7.26,-3.23,-1.16,0.3
8/31/1927,1.97,-0.72,-3.69,0.28
9/30/1927,4.76,-3.57,-0.71,0.21
10/31/1927,-4.31,2.13,-4.33,0.25
11/30/1927,6.58,2.76,-0.31,0.21
12/31/1927,2.09,0.93,-1.06,0.22
1/31/1928,-0.68,4.25,-0.72,0.25
2/29/1928,-1.7,-2.03,-0.69,0.33
3/31/1928,8.81,-0.26,-1.2,0.29
4/30/1928,4.23,3.82,3.67,0.22
5/31/1928,1.52,2.98,-3.46,0.32
6/30/1928,-4.85,-3.5,-0.06,0.31
7/31/1928,0.62,-1.35,-0.47,0.32
8/31/1928,6.68,-2.07,-2.11,0.32
9/30/1928,2.88,2.33,0.99,0.27
10/31/1928,1.33,2.27,-2.26,0.41
11/30/1928,11.81,-1.81,2.8,0.38
12/31/1928,0.36,-0.85,-0.6,0.06
1/31/1929,4.66,-3.54,-1.21,0.34
2/28/1929,-0.34,-0.39,1.68,0.36
3/31/1929,-0.89,-4.74,1.61,0.34
4/30/1929,1.43,-1,0.6,0.36
5/31/1929,-6.39,-5.35,-1.4,0.44
6/30/1929,9.7,-2.17,-2.76,0.52
7/31/1929,4.46,-3.88,2.66,0.33
8/31/1929,8.18,-9.52,0.06,0.4
9/30/1929,-5.47,1.17,-0.63,0.35
10/31/1929,-20.12,-4.08,7.85,0.46
11/30/1929,-12.74,-1.9,5.33,0.37
12/31/1929,1.33,-4.33,-0.59,0.37
1/31/1930,5.61,3.54,-1.01,0.14
2/28/1930,2.5,0.13,0.39,0.3
3/31/1930,7.1,3.43,0.15,0.35
4/30/1930,-2.06,-0.2,-0.84,0.21
5/31/1930,-1.66,-2.04,-0.63,0.26
6/30/1930,-16.27,-3.24,2,0.27
7/31/1930,4.12,-0.37,-1.56,0.2
8/31/1930,0.3,-2.22,-0.78,0.09
9/30/1930,-12.75,-2.22,-5.27,0.22
10/31/1930,-8.78,-0.1,-1.35,0.09
11/30/1930,-3.04,2.21,-3.53,0.13
12/31/1930,-7.83,-4.67,-5.4,0.14
1/31/1931,6.24,3.77,7.16,0.15
2/28/1931,10.88,3.38,1.61,0.04
3/31/1931,-6.43,3.07,-3.66,0.13
4/30/1931,-9.98,-4.62,-3.94,0.08
5/31/1931,-13.24,5.17,-6.58,0.09
6/30/1931,13.9,-5.38,11.31,0.08
7/31/1931,-6.62,1.43,-2.1,0.06
8/31/1931,0.41,-1.97,-1.49,0.03
9/30/1931,-29.13,0.56,-6.75,0.03
10/31/1931,8.04,-1.87,1.7,0.1
11/30/1931,-9.08,4.3,-5.05,0.17
12/31/1931,-13.53,-0.56,-8.86,0.12
1/31/1932,-1.58,3.94,9.04,0.23
2/29/1932,5.46,-2.77,-1.45,0.23
3/31/1932,-11.21,2.27,-2.32,0.16
4/30/1932,-17.96,1.44,1.42,0.11
5/31/1932,-20.51,3.91,-2.99,0.06
6/30/1932,-0.7,0.34,5.3,0.02
7/31/1932,33.84,-4.44,35.46,0.03
8/31/1932,37.06,14.29,33.03,0.03
9/30/1932,-2.94,-2.44,-6.82,0.03
10/31/1932,-13.17,-2.76,-10.05,0.02
11/30/1932,-5.88,2.08,-13.28,0.02
12/31/1932,4.4,-8.27,-8.17,0.01
1/31/1933,1.25,0.69,6.23,0.01
2/28/1933,-15.24,-2.75,-2.73,-0.03
3/31/1933,3.29,3.9,7.38,0.04
4/30/1933,38.85,4.56,17.43,0.1
5/31/1933,21.43,36.7,19.03,0.04
6/30/1933,13.11,8.56,-2.05,0.02
7/31/1933,-9.63,-1.01,3.27,0.02
8/31/1933,12.05,-5.45,2.96,0.03
9/30/1933,-10.65,-0.32,-11.77,0.02
10/31/1933,-8.36,-0.08,-8.46,0.01
11/30/1933,9.97,-6.48,2.33,0.02
12/31/1933,1.83,0.66,-1.53,0.02
1/31/1934,12.6,12.53,15.54,0.05
2/28/1934,-2.5,5.19,2.12,0.02
3/31/1934,0.09,2.51,-2.73,0.02
4/30/1934,-1.79,2.8,-3.75,0.01
5/31/1934,-7.25,-0.26,-5.91,0.01
6/30/1934,2.64,-2.14,-2.92,0.01
7/31/1934,-10.96,-6.92,-10.64,0.01
8/31/1934,5.58,5.39,0.45,0.01
9/30/1934,-0.23,-1.5,-1.22,0.01
10/31/1934,-1.66,1.25,-5.11,0.01
11/30/1934,8.33,6.5,-2.24,0.01
12/31/1934,0.36,3.06,-3.2,0.01
1/31/1935,-3.45,1.1,-1.86,0.01
2/28/1935,-1.94,0.41,-7.27,0.02
3/31/1935,-3.68,-3.57,-5.1,0.01
4/30/1935,9.06,-1.51,4.35,0.01
5/31/1935,3.47,-3.38,2.56,0.01
6/30/1935,5.93,-2.51,-1.65,0.01
7/31/1935,7.51,1.47,6.86,0.01
8/31/1935,2.65,6.28,5.7,0.01
9/30/1935,2.63,1.57,-4.05,0.01
10/31/1935,7.03,2.64,-2.33,0.01
11/30/1935,4.88,4.28,11.91,0.02
12/31/1935,4.56,0.23,1.07,0.01
1/31/1936,6.89,5.14,10.51,0.01
2/29/1936,2.49,1.14,5.04,0.01
3/31/1936,0.99,0.65,-1.66,0.02
4/30/1936,-8.14,-6.04,-2.08,0.02
5/31/1936,5.19,0.83,2.63,0.02
6/30/1936,2.4,-3.26,-1.2,0.03
7/31/1936,6.67,1.14,2.56,0.01
8/31/1936,0.99,0.72,3.99,0.02
9/30/1936,0.98,3.07,0.88,0.01
10/31/1936,7.12,-2.39,2.52,0.02
11/30/1936,3.27,9.01,-0.92,0.01
12/31/1936,0.21,3.61,3.96,0
1/31/1937,3.35,4.31,2.61,0.01
2/28/1937,1.09,1.23,5.05,0.02
3/31/1937,-0.27,-1.78,6.39,0.01
4/30/1937,-7.36,-3.77,-3.61,0.03
5/31/1937,-0.83,-0.66,-3.49,0.06
6/30/1937,-4.21,-3.65,-3.21,0.03
7/31/1937,8.91,0.85,0.82,0.03
8/31/1937,-4.86,0.42,-2.25,0.02
9/30/1937,-13.61,-6.89,-4.57,0.04
10/31/1937,-9.61,0.45,-1.62,0.02
11/30/1937,-8.31,-3.65,0.2,0.02
12/31/1937,-4.24,-7.76,-0.39,0
1/31/1938,0.49,4.97,-1.6,0
2/28/1938,5.84,0.35,-2.02,0
3/31/1938,-23.82,-4.24,-3.52,-0.01
4/30/1938,14.51,6.37,0.18,0.01
5/31/1938,-3.83,-2.47,-0.28,0
6/30/1938,23.87,4.05,0.3,0
7/31/1938,7.34,6.66,2.18,-0.01
8/31/1938,-2.67,-2.44,-4.72,0
9/30/1938,0.81,-2.72,-1.62,0.02
10/31/1938,7.8,5.83,5.01,0.01
11/30/1938,-1.72,-2.56,-1.23,-0.06
12/31/1938,4.19,-1.8,0.5,0
1/31/1939,-5.96,-1.56,-3.92,-0.01
2/28/1939,3.51,0.63,2.95,0.01
3/31/1939,-11.99,-4.76,-8.29,-0.01
4/30/1939,-0.18,1.66,-0.3,0
5/31/1939,6.8,2.81,0.47,0.01
6/30/1939,-5.31,-1.02,-5.41,0.01
7/31/1939,10.24,4.32,-0.03,0
8/31/1939,-6.68,-4.61,-2.42,-0.01
9/30/1939,16.88,20.23,22.22,0.01
10/31/1939,-0.53,-0.01,-4.89,0
11/30/1939,-3.62,-5.07,-6.46,0
12/31/1939,3.03,0.79,-4.06,0
1/31/1940,-2.41,0.24,-0.77,0
2/29/1940,1.44,2.51,-0.32,0
3/31/1940,2.05,1.25,-1.27,0
4/30/1940,0.22,3.92,-0.13,0
5/31/1940,-21.95,-6.66,-3.69,-0.02
6/30/1940,6.67,-2.13,4.63,0
7/31/1940,3.16,1.01,-0.74,0.01
8/31/1940,2.19,-0.11,0.56,-0.01
9/30/1940,2.39,3.22,-1.13,0
10/31/1940,3.02,0.28,4.64,0
11/30/1940,-1.61,1.94,0.12,0
12/31/1940,0.69,-2.15,-0.89,0
1/31/1941,-4.17,1,3.83,-0.01
2/28/1941,-1.43,-1.57,0.89,-0.01
3/31/1941,0.84,0.1,3.04,0.01
4/30/1941,-5.46,-1.69,3.41,-0.01
5/31/1941,1.39,-0.66,0.6,0
6/30/1941,5.83,1.32,0.59,0
7/31/1941,5.87,5.7,7.25,0.03
8/31/1941,-0.17,-0.41,-1.1,0.01
9/30/1941,-0.87,-0.99,-0.28,0.01
10/31/1941,-5.25,-2.02,1.63,0
11/30/1941,-1.92,-1.21,-0.64,0
12/31/1941,-4.87,-2.98,-5.94,0.01
1/31/1942,0.79,7.52,10.1,0.02
2/28/1942,-2.46,1.72,-1.13,0.01
3/31/1942,-6.58,1.78,-0.62,0.01
4/30/1942,-4.37,-0.6,2.09,0.01
5/31/1942,5.94,-3.05,-2.65,0.03
6/30/1942,2.69,-1.22,0.54,0.02
7/31/1942,3.51,-0.16,2.4,0.03
8/31/1942,1.8,-0.09,1.33,0.03
9/30/1942,2.61,0.66,2.39,0.03
10/31/1942,6.82,1.82,6.47,0.03
11/30/1942,0.15,-1.54,-4.24,0.03
12/31/1942,5.12,-2.49,0.56,0.03
1/31/1943,7.13,8.78,8.23,0.03
2/28/1943,6.15,4.84,6.51,0.03
3/31/1943,6.01,5.03,5.48,0.03
4/30/1943,0.81,2.06,5.86,0.03
5/31/1943,5.74,4.41,3.28,0.03
6/30/1943,1.82,-1.06,-0.74,0.03
7/31/1943,-4.77,-2.41,-2.27,0.03
8/31/1943,1.3,-0.62,-0.47,0.03
9/30/1943,2.4,1.28,1.43,0.03
10/31/1943,-1.15,0.58,1.65,0.03
11/30/1943,-5.91,-1.64,-4.04,0.03
12/31/1943,6.36,3.34,3.22,0.03
1/31/1944,1.74,2.56,2.17,0.03
2/29/1944,0.37,-0.1,0.83,0.03
3/31/1944,2.46,1.71,3.43,0.02
4/30/1944,-1.69,-1.35,-1.13,0.03
5/31/1944,5.07,1.67,1.02,0.03
6/30/1944,5.49,4.04,1.82,0.03
7/31/1944,-1.49,0.55,-0.43,0.03
8/31/1944,1.57,2.41,-1.63,0.03
9/30/1944,0.01,0.47,-1.21,0.02
10/31/1944,0.16,-0.14,-0.34,0.03
11/30/1944,1.71,0.37,2.31,0.03
12/31/1944,4.03,2.24,5.91,0.02
1/31/1945,2.01,2.44,0.71,0.03
2/28/1945,6.23,1.56,4.4,0.02
3/31/1945,-3.89,-1.61,-1.78,0.02
4/30/1945,7.8,0.32,3.21,0.03
5/31/1945,1.73,1.51,0.35,0.03
6/30/1945,0.39,3.1,4.32,0.02
7/31/1945,-2.17,-1.46,-2.71,0.03
8/31/1945,6.2,1.61,-4.4,0.03
9/30/1945,4.77,1.71,0.48,0.03
10/31/1945,3.89,2.46,2.25,0.03
11/30/1945,5.39,4.16,4.34,0.02
12/31/1945,1.2,2.12,-2.32,0.03
1/31/1946,6.24,4.02,2.21,0.03
2/28/1946,-5.83,-0.73,-1.27,0.03
3/31/1946,5.87,0.31,-0.36,0.03
4/30/1946,4.23,2.37,0.45,0.03
5/31/1946,3.93,1.46,1.09,0.03
6/30/1946,-3.89,-1.53,-0.59,0.03
7/31/1946,-2.69,-2.06,0.04,0.03
8/31/1946,-6.44,-1.78,0.6,0.03
9/30/1946,-10.17,-4.41,-1.96,0.03
10/31/1946,-1.44,0.09,3.44,0.03
11/30/1946,-0.01,-0.4,1.52,0.03
12/31/1946,4.96,0.06,-1.38,0.03
1/31/1947,1.25,2.18,-0.73,0.03
2/28/1947,-1.08,0.68,0.14,0.03
3/31/1947,-1.67,-1.61,0.61,0.03
4/30/1947,-4.8,-3.97,0.85,0.03
5/31/1947,-0.97,-3.26,0.34,0.03
6/30/1947,5.29,-0.31,-0.6,0.03
7/31/1947,4.14,1.43,2.82,0.03
8/31/1947,-1.74,0.3,0.16,0.03
9/30/1947,-0.54,1.64,1.36,0.06
10/31/1947,2.47,0.51,0.08,0.06
11/30/1947,-1.97,-1.74,1.06,0.06
12/31/1947,3,-2.48,3.69,0.08
1/31/1948,-3.93,2.49,1.38,0.07
2/29/1948,-4.38,-1.71,0.07,0.07
3/31/1948,8.07,0.13,4.49,0.09
4/30/1948,3.65,-1.66,4.1,0.08
5/31/1948,7.3,0.93,-1.23,0.08
6/30/1948,-0.1,-1.86,2.75,0.09
7/31/1948,-5.09,-0.32,0.07,0.08
8/31/1948,0.25,-1.1,0.27,0.09
9/30/1948,-2.97,-1.23,-1.79,0.04
10/31/1948,5.96,-1.5,0.56,0.04
11/30/1948,-9.3,-0.62,-4.14,0.04
12/31/1948,3.26,-2.8,-1.94,0.04
1/31/1949,0.23,1.81,1.17,0.1
2/28/1949,-2.93,-1.89,-0.91,0.09
3/31/1949,4.04,2.48,1.34,0.1
4/30/1949,-1.87,-0.89,-1.18,0.09
5/31/1949,-2.94,-0.77,-2.42,0.1
6/30/1949,0.1,-0.88,-1.76,0.1
7/31/1949,5.54,0.57,0.38,0.09
8/31/1949,2.6,0.13,-0.57,0.09
9/30/1949,3.09,1.05,0.23,0.09
10/31/1949,3.14,1.03,-0.49,0.09
11/30/1949,1.82,-0.93,-0.91,0.08
12/31/1949,5.13,2.07,1.75,0.09
